id	name	Feed_2013	Food_2013	ratio
AFG	Afghanistan	1536	21471	7.153835406
ALB	Albania	1319	6952	18.97295742
DZA	Algeria	8706	63455	13.71995903
AGO	Angola	18518	30121	61.47870257
ATG	Antigua and Barbuda	0	119	0
ARG	Argentina	15780	65063	24.25341592
ARM	Armenia	1313	5862	22.39849881
AUS	Australia	18471	43975	42.00341103
AUT	Austria	6823	18167	37.55710904
AZE	Azerbaijan	4234	15928	26.58211954
AZE	Bahamas	2	627	0.318979266
BGD	Bangladesh	6670	114184	5.84144889
BRB	Barbados	62	407	15.23341523
BLR	Belarus	20407	17445	116.9790771
BEL	Belgium	11068	22268	49.70361056
BLZ	Belize	128	424	30.18867925
BEN	Benin	4008	12473	32.13340816
BMU	Bermuda	3	103	2.912621359
BOL	Bolivia (Plurinational State of)	2488	11027	22.5628004
BIH	Bosnia and Herzegovina	1462	6994	20.90363168
BWA	Botswana	48	2224	2.158273381
BRA	Brazil	127479	312488	40.79484652
BRN	Brunei Darussalam	17	530	3.20754717
BGR	Bulgaria	2111	10224	20.64749609
BFA	Burkina Faso	90	18890	0.476442562
CPV	Cabo Verde	70	651	10.75268817
KHM	Cambodia	1214	12421	9.773770228
CMR	Cameroon	4332	30520	14.19397117
CAN	Canada	52274	67893	76.99468281
CAF	Central African Republic	2	4185	0.047789725
TCD	Chad	207	8194	2.526238711
CHL	Chile	8258	24642	33.51189027
CHN	China	199	11557	1.721900147
CHN	China	0	739	0
CHN	China	691903	2499252	27.68440317
CHN	China	10505	30220	34.76174719
COL	Colombia	12223	64621	18.91490382
COD	Congo	32	5168	0.619195046
CRI	Costa Rica	1625	6642	24.46552243
HRV	Croatia	4063	7404	54.87574284
CUB	Cuba	8151	18823	43.30340541
CYP	Cyprus	789	1454	54.26409904
CZE	Czechia	5454	18524	29.44288491
KOR	Democratic People's Republic of Korea	1632	22848	7.142857143
DNK	Denmark	15671	11589	135.2230563
DJI	Djibouti	0	791	0
DMA	Dominica	41	138	29.71014493
DOM	Dominican Republic	2480	14399	17.22341829
ECU	Ecuador	2401	17149	14.00081637
EGY	Egypt	30168	131916	22.86909852
SLV	El Salvador	1429	6926	20.63239965
EST	Estonia	1251	2613	47.87600459
ETH	Ethiopia	1370	66726	2.053172676
FJI	Fiji	138	1108	12.45487365
FIN	Finland	4309	11874	36.28937174
FRA	France	45537	120542	37.77687445
PYF	French Polynesia	8	404	1.98019802
GAB	Gabon	502	2535	19.80276134
GMB	Gambia	30	1408	2.130681818
GEO	Georgia	903	5635	16.02484472
DEU	Germany	60418	158473	38.12510649
GHA	Ghana	9756	44967	21.69591033
GRC	Greece	8906	23836	37.36365162
GRD	Grenada	28	122	22.95081967
GTM	Guatemala	1624	13791	11.77579581
GIN	Guinea	1295	11423	11.33677668
GNB	Guinea-Bissau	10	1220	0.819672131
GUY	Guyana	621	1062	58.47457627
HTI	Haiti	962	8204	11.72598732
HND	Honduras	830	8263	10.04477793
HUN	Hungary	9287	14348	64.72679119
ISL	Iceland	214	604	35.43046358
IND	India	98258	1238335	7.934686494
IDN	Indonesia	19062	237826	8.015103479
IRN	Iran (Islamic Republic of)	23362	122793	19.02551448
IRQ	Iraq	6316	30961	20.39985789
IRL	Ireland	7517	10643	70.62858217
ISR	Israel	5050	14263	35.40629601
ITA	Italy	32287	121163	26.64757393
JAM	Jamaica	338	3878	8.715832904
JPN	Japan	34952	153161	22.82043079
JOR	Jordan	2503	8477	29.52695529
KAZ	Kazakhstan	14404	32695	44.055666
KEN	Kenya	1196	47401	2.52315352
KIR	Kiribati	0	135	0
KWT	Kuwait	1044	6123	17.05046546
KGZ	Kyrgyzstan	4085	8442	48.38900734
LAO	Lao People's Democratic Republic	2035	8561	23.77058755
LVA	Latvia	1222	3542	34.50028233
LBN	Lebanon	1274	7408	17.19762419
LSO	Lesotho	2	1801	0.111049417
LBR	Liberia	70	3310	2.114803625
LTU	Lithuania	3866	6340	60.97791798
LUX	Luxembourg	293	1218	24.05582923
MDG	Madagascar	1686	19488	8.651477833
MWI	Malawi	8018	17215	46.57566076
MYS	Malaysia	7412	31580	23.47055098
MDV	Maldives	0	559	0
MLI	Mali	1309	15737	8.317976743
MLT	Malta	177	826	21.42857143
MRT	Mauritania	177	3894	4.545454545
MUS	Mauritius	205	1589	12.90119572
MEX	Mexico	43530	166591	26.12986296
MNG	Mongolia	422	3280	12.86585366
MAR	Morocco	8468	47208	17.93763769
MOZ	Mozambique	3440	25077	13.71774933
MMR	Myanmar	23326	51583	45.22032453
NAM	Namibia	107	2693	3.973264018
NPL	Nepal	3135	33509	9.355695485
NLD	Netherlands	17983	35849	50.16318447
NCL	New Caledonia	51	367	13.89645777
NZL	New Zealand	3468	7603	45.61357359
NIC	Nicaragua	655	5358	12.22471071
NER	Niger	1573	16267	9.669883814
NGA	Nigeria	72046	228877	31.47804279
NOR	Norway	5521	9707	56.87648089
OMN	Oman	331	5966	5.548105934
PAK	Pakistan	9511	180994	5.254870327
PAN	Panama	1036	4524	22.90008842
PRY	Paraguay	7314	8316	87.95093795
PER	Peru	7284	40447	18.00875219
PHL	Philippines	12757	100429	12.70250625
POL	Poland	39451	70616	55.86694234
PRT	Portugal	6445	21604	29.83243844
QAT	Republic of Korea	20049	77125	25.99546191
MDA	Republic of Moldova	3303	4643	71.13934956
ROU	Romania	17199	43598	39.4490573
RUS	Russian Federation	117021	253892	46.09085753
RWA	Rwanda	0	18547	0
KNA	Saint Kitts and Nevis	0	56	0
LCA	Saint Lucia	13	216	6.018518519
VCT	Saint Vincent and the Grenadines	63	158	39.87341772
WSM	Samoa	8	329	2.431610942
STP	Sao Tome and Principe	0	251	0
SAU	Saudi Arabia	23682	35912	65.94453108
SEN	Senegal	76	10653	0.713414062
SRB	Serbia	11163	14236	78.4138803
SLE	Sierra Leone	1802	6144	29.32942708
SVK	Slovakia	2413	7709	31.30107666
SVN	Slovenia	795	3700	21.48648649
SLB	Solomon Islands	0	727	0
ZAF	South Africa	10619	59621	17.81083846
ESP	Spain	56543	81051	69.76224846
LKA	Sri Lanka	530	20550	2.579075426
SDN	Sudan	664	42997	1.544293788
SUR	Suriname	120	632	18.98734177
SWZ	Swaziland	114	1269	8.983451537
SWE	Sweden	6937	19719	35.17926873
CHE	Switzerland	3567	15983	22.3174623
TJK	Tajikistan	5549	8543	64.95376331
THA	Thailand	19122	78567	24.33846271
THA	The former Yugoslav Republic of Macedonia	886	3482	25.44514647
TLS	Timor-Leste	18	837	2.150537634
TGO	Togo	302	6379	4.734284371
TTO	Trinidad and Tobago	176	1773	9.926677947
TUN	Tunisia	4344	18479	23.50776557
TUR	Turkey	35502	145101	24.46709533
TKM	Turkmenistan	4972	7082	70.20615645
UGA	Uganda	697	40247	1.731806097
UKR	Ukraine	74170	79580	93.2018095
ARE	United Arab Emirates	2349	13095	17.93814433
GBR	United Kingdom	27033	122946	21.98770192
TZA	United Republic of Tanzania	4168	54968	7.582593509
USA	United States of America	296863	641776	46.25648201
URY	Uruguay	2476	5316	46.57637321
UZB	Uzbekistan	19934	47311	42.13396462
VUT	Vanuatu	12	370	3.243243243
VEN	Venezuela (Bolivarian Republic of)	5756	39706	14.49654964
VNM	Viet Nam	22712	105399	21.54859154
YEM	Yemen	420	18325	2.291950887
ZMB	Zambia	816	10180	8.015717092
ZWE	Zimbabwe	262	9524	2.750944981
